,question_id,db_id,question,gold_sql,predicted_sql,both_executed,results_equal,gold_error,pred_error,model_name,model_engine,gen_type,dataset_path,n_examples,instructions_level,experiment_id
0,1,unknown,"single bond refers to bond_type = '-';
How many elements are there for single bond molecules?","SELECT COUNT(DISTINCT T.element) FROM ( SELECT DISTINCT T2.molecule_id, T1.element FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id INNER JOIN bond AS T3 ON T2.molecule_id = T3.molecule_id WHERE T3.bond_type = '-' ) AS T",SELECT COUNT(DISTINCT a.element) FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id WHERE b.bond_type = '-';,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
1,2,unknown,"latest patient refers to ID with MAX('First Date'); abnormal level of lactate dehydrogenase refers to LDH > = 500;
When is the latest patient's medical data recorded? This patient should have an abnormal level of lactate dehydrogenase.",SELECT T1.`First Date` FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.LDH >= 500 ORDER BY T1.`First Date` DESC LIMIT 1,SELECT MAX(Laboratory.Date) FROM Laboratory JOIN Patient ON Laboratory.ID = Patient.ID WHERE Patient.ID = (SELECT ID FROM Patient WHERE First Date = (SELECT MAX(First Date) FROM Patient)) AND Laboratory.LDH >= 500;,False,,,"near ""Date"": syntax error",deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
2,3,unknown,Please specify all of the schools and their related mailing zip codes that are under Avetik Atoian's administration.,"SELECT School, MailZip FROM schools WHERE AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian'","SELECT School, MailZip FROM schools WHERE AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian' OR AdmFName2 = 'Avetik' AND AdmLName2 = 'Atoian' OR AdmFName3 = 'Avetik' AND AdmLName3 = 'Atoian';",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
3,4,unknown,What type of credit card does the client with the id 13539 own?,SELECT T3.type FROM disp AS T1 INNER JOIN client AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T1.disp_id = T3.disp_id WHERE T2.client_id = 13539,SELECT card.type FROM card JOIN disp ON card.disp_id = disp.disp_id WHERE disp.client_id = 13539;,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
4,5,unknown,"female patient refers to Sex = 'F'; age 50 and above = SUBTRACT(year(current_timestamp), year(Birthday)) > = 50; abnormal red blood cell count refers to RBC < = 3.5 or RBC > = 6.0; Admission = '+' means the patient was admitted to the hospital; Admission = '-' means the patient was not admitted to the hospital;
For all the female patient age 50 and above, who has abnormal red blood cell count. State if they were admitted to hospital.","SELECT DISTINCT T1.ID, T1.Admission FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'F' AND (T2.RBC <= 3.5 OR T2.RBC >= 6.0) AND STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) >= 50","SELECT P.ID, P.SEX, P.Birthday, P.Admission, L.RBC FROM Patient P JOIN Laboratory L ON P.ID = L.ID WHERE P.SEX = 'F' AND (strftime('%Y', 'now') - strftime('%Y', P.Birthday)) >= 50 AND (L.RBC <= 3.5 OR L.RBC >= 6.0);",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
5,6,unknown,"full name refers to player_name; players with highest number of penalties refers to MAX(penalties);
Indicate the full names of the top 10 players with the highest number of penalties.",SELECT t2.player_name FROM Player_Attributes AS t1 INNER JOIN Player AS t2 ON t1.id = t2.id ORDER BY t1.penalties DESC LIMIT 10,SELECT p.player_name FROM Player p JOIN Player_Attributes pa ON p.player_api_id = pa.player_api_id ORDER BY pa.penalties DESC LIMIT 10;,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
6,7,unknown,"lowest potential players refers to MIN(potential); prefer to use the right foot when attacking refers to preferred_foot = 'right'
Please provide top five football players' IDs who are among the lowest potential players and prefer to use the right foot when attacking.",SELECT id FROM Player_Attributes WHERE preferred_foot = 'right' ORDER BY potential DESC LIMIT 5,SELECT player_api_id FROM Player_Attributes WHERE preferred_foot = 'right' ORDER BY potential ASC LIMIT 5;,True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
7,8,unknown,"""Understanding what Dassault iSight is doing?"" is the Title of post; user refers to DisplayName;
Which user made a post titled 'Understanding what Dassault iSight is doing?' and how much is the reputation of the user?","SELECT T1.DisplayName, T1.Reputation FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T2.Title = 'Understanding what Dassault iSight is doing?'","SELECT u.DisplayName, u.Reputation FROM users u JOIN posts p ON u.Id = p.OwnerUserId WHERE p.Title = 'Understanding what Dassault iSight is doing?';",True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
8,9,unknown,"single bond refers to bond_type = '-';
Name all bonds with single bond types and what atoms are connected to the molecules.","SELECT T1.bond_id, T2.atom_id, T2.atom_id2 FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T1.bond_type = '-'","SELECT b.bond_id, a1.atom_id AS atom_id1, a2.atom_id AS atom_id2, m.molecule_id, m.label
FROM bond b
JOIN connected c ON b.bond_id = c.bond_id
JOIN atom a1 ON c.atom_id = a1.atom_id
JOIN atom a2 ON c.atom_id2 = a2.atom_id
JOIN molecule m ON b.molecule_id = m.molecule_id
WHERE b.bond_type = '-';",True,False,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
9,10,unknown,What college offers the major that Tyler Hewitt took?,SELECT T2.college FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Tyler' AND T1.last_name = 'Hewitt',SELECT m.college FROM major m JOIN member mb ON m.major_id = mb.link_to_major WHERE mb.first_name = 'Tyler' AND mb.last_name = 'Hewitt';,True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
10,11,unknown,"poweful refers to cardKingdomFoilId is not null AND cardKingdomId is not null
Please provide the ids of top three powerful pairs of Kingdom Foil and Kingdom Cards sorted by Kingdom Foil id in alphabetical order.","SELECT cardKingdomFoilId, cardKingdomId FROM cards WHERE cardKingdomFoilId IS NOT NULL AND cardKingdomId IS NOT NULL ORDER BY cardKingdomFoilId LIMIT 3","SELECT cardKingdomFoilId, cardKingdomId FROM cards WHERE cardKingdomFoilId IS NOT NULL AND cardKingdomId IS NOT NULL ORDER BY cardKingdomFoilId ASC LIMIT 3;",True,True,,,deepseek-v3,rits,sqlite,data/generated/bird_dev_enriched.json,100,2,deepseek-v3_sqlite_2
